gene-symbol,gene-name,genetic-category,gene-score,number-of-reports,UMLS_IDs,uniprot_id,protein_gene_name,protein_name,organism,protein_function,protein_UMLS_IDs,pathway_id,pathway_name,match_basis,matched_umls
NPAS2,neuronal PAS domain protein 2,Genetic Association,2.0,4,"C1417774,C0521390",Q99743,NPAS2 BHLHE9 MOP4 PASD4,Neuronal PAS domain-containing protein 2 (Neuronal PAS2) (Basic-helix-loop-helix-PAS protein MOP4) (Class E basic helix-loop-helix protein 9) (bHLHe9) (Member of PAS protein 4) (PAS domain-containing protein 4),Homo sapiens (Human),"FUNCTION: Transcriptional activator which forms a core component of the circadian clock. The circadian clock, an internal time-keeping system, regulates various physiological processes through the generation of approximately 24 hour circadian rhythms in gene expression, which are translated into rhythms in metabolism and behavior. It is derived from the Latin roots 'circa' (about) and 'diem' (day) and acts as an important regulator of a wide array of physiological functions including metabolism, sleep, body temperature, blood pressure, endocrine, immune, cardiovascular, and renal function. Consists of two major components: the central clock, residing in the suprachiasmatic nucleus (SCN) of the brain, and the peripheral clocks that are present in nearly every tissue and organ system. Both the central and peripheral clocks can be reset by environmental cues, also known as Zeitgebers (German for 'timegivers'). The predominant Zeitgeber for the central clock is light, which is sensed by retina and signals directly to the SCN. The central clock entrains the peripheral clocks through neuronal and hormonal signals, body temperature and feeding-related cues, aligning all clocks with the external light/dark cycle. Circadian rhythms allow an organism to achieve temporal homeostasis with its environment at the molecular level by regulating gene expression to create a peak of protein expression once every 24 hours to control when a particular physiological process is most active with respect to the solar day. Transcription and translation of core clock components (CLOCK, NPAS2, BMAL1, BMAL2, PER1, PER2, PER3, CRY1 and CRY2) plays a critical role in rhythm generation, whereas delays imposed by post-translational modifications (PTMs) are important for determining the period (tau) of the rhythms (tau refers to the period of a rhythm and is the length, in time, of one complete cycle). A diurnal rhythm is synchronized with the day/night cycle, while the ultradian and infradian rhythms have a period shorter and longer than 24 hours, respectively. Disruptions in the circadian rhythms contribute to the pathology of cardiovascular diseases, cancer, metabolic syndromes and aging. A transcription/translation feedback loop (TTFL) forms the core of the molecular circadian clock mechanism. Transcription factors, CLOCK or NPAS2 and BMAL1 or BMAL2, form the positive limb of the feedback loop, act in the form of a heterodimer and activate the transcription of core clock genes and clock-controlled genes (involved in key metabolic processes), harboring E-box elements (5'-CACGTG-3') within their promoters. The core clock genes: PER1/2/3 and CRY1/2 which are transcriptional repressors form the negative limb of the feedback loop and interact with the CLOCK|NPAS2-BMAL1|BMAL2 heterodimer inhibiting its activity and thereby negatively regulating their own expression. This heterodimer also activates nuclear receptors NR1D1/2 and RORA/B/G, which form a second feedback loop and which activate and repress BMAL1 transcription, respectively. The NPAS2-BMAL1 heterodimer positively regulates the expression of MAOA, F7 and LDHA and modulates the circadian rhythm of daytime contrast sensitivity by regulating the rhythmic expression of adenylate cyclase type 1 (ADCY1) in the retina. NPAS2 plays an important role in sleep homeostasis and in maintaining circadian behaviors in normal light/dark and feeding conditions and in the effective synchronization of feeding behavior with scheduled food availability. Regulates the gene transcription of key metabolic pathways in the liver and is involved in DNA damage response by regulating several cell cycle and DNA repair genes. Controls the circadian rhythm of NR0B2 expression by binding rhythmically to its promoter (By similarity). Mediates the diurnal variation in the expression of GABARA1 receptor in the brain and contributes to the regulation of anxiety-like behaviors and GABAergic neurotransmission in the ventral striatum (By similarity). {ECO:0000250|UniProtKB:P97460, ECO:0000269|PubMed:11441146, ECO:0000269|PubMed:11441147, ECO:0000269|PubMed:14645221, ECO:0000269|PubMed:18439826, ECO:0000269|PubMed:18819933}.",,hsa04110,Cell cycle,NAME,
NPAS2,neuronal PAS domain protein 2,Genetic Association,2.0,4,"C1417774,C0521390",Q99743,NPAS2 BHLHE9 MOP4 PASD4,Neuronal PAS domain-containing protein 2 (Neuronal PAS2) (Basic-helix-loop-helix-PAS protein MOP4) (Class E basic helix-loop-helix protein 9) (bHLHe9) (Member of PAS protein 4) (PAS domain-containing protein 4),Homo sapiens (Human),"FUNCTION: Transcriptional activator which forms a core component of the circadian clock. The circadian clock, an internal time-keeping system, regulates various physiological processes through the generation of approximately 24 hour circadian rhythms in gene expression, which are translated into rhythms in metabolism and behavior. It is derived from the Latin roots 'circa' (about) and 'diem' (day) and acts as an important regulator of a wide array of physiological functions including metabolism, sleep, body temperature, blood pressure, endocrine, immune, cardiovascular, and renal function. Consists of two major components: the central clock, residing in the suprachiasmatic nucleus (SCN) of the brain, and the peripheral clocks that are present in nearly every tissue and organ system. Both the central and peripheral clocks can be reset by environmental cues, also known as Zeitgebers (German for 'timegivers'). The predominant Zeitgeber for the central clock is light, which is sensed by retina and signals directly to the SCN. The central clock entrains the peripheral clocks through neuronal and hormonal signals, body temperature and feeding-related cues, aligning all clocks with the external light/dark cycle. Circadian rhythms allow an organism to achieve temporal homeostasis with its environment at the molecular level by regulating gene expression to create a peak of protein expression once every 24 hours to control when a particular physiological process is most active with respect to the solar day. Transcription and translation of core clock components (CLOCK, NPAS2, BMAL1, BMAL2, PER1, PER2, PER3, CRY1 and CRY2) plays a critical role in rhythm generation, whereas delays imposed by post-translational modifications (PTMs) are important for determining the period (tau) of the rhythms (tau refers to the period of a rhythm and is the length, in time, of one complete cycle). A diurnal rhythm is synchronized with the day/night cycle, while the ultradian and infradian rhythms have a period shorter and longer than 24 hours, respectively. Disruptions in the circadian rhythms contribute to the pathology of cardiovascular diseases, cancer, metabolic syndromes and aging. A transcription/translation feedback loop (TTFL) forms the core of the molecular circadian clock mechanism. Transcription factors, CLOCK or NPAS2 and BMAL1 or BMAL2, form the positive limb of the feedback loop, act in the form of a heterodimer and activate the transcription of core clock genes and clock-controlled genes (involved in key metabolic processes), harboring E-box elements (5'-CACGTG-3') within their promoters. The core clock genes: PER1/2/3 and CRY1/2 which are transcriptional repressors form the negative limb of the feedback loop and interact with the CLOCK|NPAS2-BMAL1|BMAL2 heterodimer inhibiting its activity and thereby negatively regulating their own expression. This heterodimer also activates nuclear receptors NR1D1/2 and RORA/B/G, which form a second feedback loop and which activate and repress BMAL1 transcription, respectively. The NPAS2-BMAL1 heterodimer positively regulates the expression of MAOA, F7 and LDHA and modulates the circadian rhythm of daytime contrast sensitivity by regulating the rhythmic expression of adenylate cyclase type 1 (ADCY1) in the retina. NPAS2 plays an important role in sleep homeostasis and in maintaining circadian behaviors in normal light/dark and feeding conditions and in the effective synchronization of feeding behavior with scheduled food availability. Regulates the gene transcription of key metabolic pathways in the liver and is involved in DNA damage response by regulating several cell cycle and DNA repair genes. Controls the circadian rhythm of NR0B2 expression by binding rhythmically to its promoter (By similarity). Mediates the diurnal variation in the expression of GABARA1 receptor in the brain and contributes to the regulation of anxiety-like behaviors and GABAergic neurotransmission in the ventral striatum (By similarity). {ECO:0000250|UniProtKB:P97460, ECO:0000269|PubMed:11441146, ECO:0000269|PubMed:11441147, ECO:0000269|PubMed:14645221, ECO:0000269|PubMed:18439826, ECO:0000269|PubMed:18819933}.",,hsa04710,Circadian rhythm,NAME,
NPAS3,neuronal PAS domain protein 3,"Rare Single Gene Mutation, Functional",3.0,8,"C1426157,C0521390",Q8IXF0,NPAS3 BHLHE12 MOP6 PASD6,Neuronal PAS domain-containing protein 3 (Neuronal PAS3) (Basic-helix-loop-helix-PAS protein MOP6) (Class E basic helix-loop-helix protein 12) (bHLHe12) (Member of PAS protein 6) (PAS domain-containing protein 6),Homo sapiens (Human),FUNCTION: May play a broad role in neurogenesis. May control regulatory pathways relevant to schizophrenia and to psychotic illness (By similarity). {ECO:0000250}.,,,,,
NR2F1,nuclear receptor subfamily 2 group F member 1,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",2.0,31,"C1417833,C5441771",P10589,NR2F1 EAR3 ERBAL3 TFCOUP1,COUP transcription factor 1 (COUP-TF1) (COUP transcription factor I) (COUP-TF I) (Nuclear receptor subfamily 2 group F member 1) (V-erbA-related protein 3) (EAR-3),Homo sapiens (Human),"FUNCTION: Coup (chicken ovalbumin upstream promoter) transcription factor binds to the ovalbumin promoter and, in conjunction with another protein (S300-II) stimulates initiation of transcription. Binds to both direct repeats and palindromes of the 5'-AGGTCA-3' motif. Represses transcriptional activity of LHCG. {ECO:0000269|PubMed:10644740, ECO:0000269|PubMed:11682620}.",C1417833,,,,
NR3C2,"Nuclear receptor subfamily 3, group C, member 2","Rare Single Gene Mutation, Syndromic",1.0,12,"C1417835,C0441837",P08235,NR3C2 MCR MLR,Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2),Homo sapiens (Human),FUNCTION: Receptor for both mineralocorticoids (MC) such as aldosterone and glucocorticoids (GC) such as corticosterone or cortisol. Binds to mineralocorticoid response elements (MRE) and transactivates target genes. The effect of MC is to increase ion and water transport and thus raise extracellular fluid volume and blood pressure and lower potassium levels. {ECO:0000269|PubMed:3037703}.,C0066563,,,,
NR4A2,nuclear receptor subfamily 4 group A member 2,"Rare Single Gene Mutation, Syndromic, Functional",1.0,17,"C1417836,C0034843",P43354,NR4A2 NOT NURR1 TINUR,Nuclear receptor subfamily 4 group A member 2 (Immediate-early response protein NOT) (Orphan nuclear receptor NURR1) (Transcriptionally-inducible nuclear receptor),Homo sapiens (Human),"FUNCTION: Transcriptional regulator which is important for the differentiation and maintenance of meso-diencephalic dopaminergic (mdDA) neurons during development (PubMed:15716272, PubMed:17184956). It is crucial for expression of a set of genes such as SLC6A3, SLC18A2, TH and DRD2 which are essential for development of mdDA neurons (By similarity). {ECO:0000250|UniProtKB:Q06219, ECO:0000269|PubMed:15716272, ECO:0000269|PubMed:17184956}.",C2720177,,,,
MSNP1AS,"Moesinpseudogene 1, antisense","Genetic Association, Functional",2.0,13,",C0080124",,,,,,,,,,
NRCAM,neuronal cell adhesion molecule,"Rare Single Gene Mutation, Genetic Association",2.0,6,"C1334901,C1314772",Q92823,NRCAM KIAA0343,Neuronal cell adhesion molecule (Nr-CAM) (Neuronal surface protein Bravo) (hBravo) (NgCAM-related cell adhesion molecule) (Ng-CAM-related),Homo sapiens (Human),"FUNCTION: Cell adhesion protein that is required for normal responses to cell-cell contacts in brain and in the peripheral nervous system. Plays a role in neurite outgrowth in response to contactin binding. Plays a role in mediating cell-cell contacts between Schwann cells and axons. Plays a role in the formation and maintenance of the nodes of Ranvier on myelinated axons. Nodes of Ranvier contain clustered sodium channels that are crucial for the saltatory propagation of action potentials along myelinated axons. During development, nodes of Ranvier are formed by the fusion of two heminodes. Required for normal clustering of sodium channels at heminodes; not required for the formation of mature nodes with normal sodium channel clusters. Required, together with GLDN, for maintaining NFASC and sodium channel clusters at mature nodes of Ranvier. {ECO:0000250|UniProtKB:Q810U4}.",C1334901,,,,
NRP2,neuropilin 2,"Rare Single Gene Mutation, Genetic Association, Functional",2.0,11,"C1417850,C0647426",O60462,NRP2 VEGF165R2,Neuropilin-2 (Vascular endothelial cell growth factor 165 receptor 2),Homo sapiens (Human),"FUNCTION: High affinity receptor for semaphorins 3C, 3F, VEGF-165 and VEGF-145 isoforms of VEGF, and the PLGF-2 isoform of PGF.; FUNCTION: (Microbial infection) Acts as a receptor for human cytomegalovirus pentamer-dependent entry in epithelial and endothelial cells. {ECO:0000269|PubMed:30057110}.",C0647426,,,,
NRXN1,neurexin 1,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,125,"C1417851,C1417851",P58400,NRXN1,Neurexin-1-beta (Neurexin I-beta),Homo sapiens (Human),"FUNCTION: Neuronal cell surface protein involved in cell recognition and cell adhesion by forming intracellular junctions through binding to neuroligins (By similarity). Plays a role in formation of synaptic junctions (By similarity). Functions as part of a trans-synaptic complex by binding to cerebellins and postsynaptic GRID1. This interaction helps regulate the activity of NMDA and AMPA receptors at hippocampal synapses without affecting synapse formation. NRXN1B-CBLN2-GRID1 complex transduce presynaptic signals into postsynaptic NMDAR response (By similarity). {ECO:0000250|UniProtKB:P0DI97, ECO:0000250|UniProtKB:Q63373}.",C2826555,,,,
NRXN1,neurexin 1,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,125,"C1417851,C1417851",Q9ULB1,NRXN1 KIAA0578,Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha),Homo sapiens (Human),"FUNCTION: Cell surface protein involved in cell-cell-interactions, exocytosis of secretory granules and regulation of signal transmission. Function is isoform-specific. Alpha-type isoforms have a long N-terminus with six laminin G-like domains and play an important role in synaptic signal transmission. Alpha-type isoforms play a role in the regulation of calcium channel activity and Ca(2+)-triggered neurotransmitter release at synapses and at neuromuscular junctions. They play an important role in Ca(2+)-triggered exocytosis of secretory granules in pituitary gland. They may affect their functions at synapses and in endocrine cells via their interactions with proteins from the exocytotic machinery. Likewise, alpha-type isoforms play a role in regulating the activity of postsynaptic NMDA receptors, a subtype of glutamate-gated ion channels. Both alpha-type and beta-type isoforms may play a role in the formation or maintenance of synaptic junctions via their interactions (via the extracellular domains) with neuroligin family members, CBLN1 or CBLN2. In vitro, triggers the de novo formation of presynaptic structures. May be involved in specification of excitatory synapses. Alpha-type isoforms were first identified as receptors for alpha-latrotoxin from spider venom. {ECO:0000250|UniProtKB:Q9CS84}.",C4048255,,,,
NRXN2,neurexin 2,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,19,"C1417852,C1417852",P58401,NRXN2,Neurexin-2-beta (Neurexin II-beta),Homo sapiens (Human),FUNCTION: Neuronal cell surface protein that may be involved in cell recognition and cell adhesion.,C4085685,,,,
NRXN2,neurexin 2,"Rare Single Gene Mutation, Syndromic, Genetic Association, Functional",1.0,19,"C1417852,C1417852",Q9P2S2,NRXN2 KIAA0921,Neurexin-2 (Neurexin II-alpha) (Neurexin-2-alpha),Homo sapiens (Human),FUNCTION: Neuronal cell surface protein that may be involved in cell recognition and cell adhesion. May mediate intracellular signaling.,C4084739,,,,
NRXN3,neurexin 3,"Rare Single Gene Mutation, Genetic Association, Functional",1.0,31,"C1417853,C1417853",Q9HDB5,NRXN3 KIAA0743,"Neurexin-3-beta (Neurexin III-beta) [Cleaved into: Neurexin-3-beta, soluble form; Neurexin-3-beta, C-terminal fragment (NRXN3-CTF)]",Homo sapiens (Human),"FUNCTION: Neuronal cell surface protein that may be involved in cell recognition and cell adhesion. May mediate intracellular signaling (By similarity). Functions as part of a trans-synaptic complex by binding to cerebellins and postsynaptic GRID1. This interaction helps regulate the activity of NMDA and AMPA receptors at hippocampal synapses without affecting synapse formation. NRXN3B-CBLN2-GRID1 complex transduce presynaptic signals into postsynaptic AMPAR response (By similarity). {ECO:0000250|UniProtKB:Q8C985, ECO:0000250|UniProtKB:Q9CS84}.",C4287830,,,,
NRXN3,neurexin 3,"Rare Single Gene Mutation, Genetic Association, Functional",1.0,31,"C1417853,C1417853",Q9Y4C0,NRXN3 C14orf60 KIAA0743,Neurexin-3 (Neurexin III-alpha) (Neurexin-3-alpha),Homo sapiens (Human),FUNCTION: Neuronal cell surface protein that may be involved in cell recognition and cell adhesion. May mediate intracellular signaling (By similarity). {ECO:0000250|UniProtKB:Q9CS84}.,C3816733,,,,
NSD1,nuclear receptor binding SET domain protein 1,"Rare Single Gene Mutation, Syndromic, Functional",1.0,41,"C1422496,C1422496",Q96L73,NSD1 ARA267 KMT3B,"Histone-lysine N-methyltransferase, H3 lysine-36 specific (EC 2.1.1.357) (Androgen receptor coactivator 267 kDa protein) (Androgen receptor-associated protein of 267 kDa) (H3-K36-HMTase) (Lysine N-methyltransferase 3B) (Nuclear receptor-binding SET domain-containing protein 1) (NR-binding SET domain-containing protein)",Homo sapiens (Human),"FUNCTION: Histone methyltransferase that dimethylates Lys-36 of histone H3 (H3K36me2). Transcriptional intermediary factor capable of both negatively or positively influencing transcription, depending on the cellular context. {ECO:0000269|PubMed:21196496}.",C1422496,,,,
NSD2,nuclear receptor binding SET domain protein 2,"Rare Single Gene Mutation, Syndromic, Functional",2.0,15,"C1421505,C1421505",O96028,NSD2 KIAA1090 MMSET TRX5 WHSC1,Histone-lysine N-methyltransferase NSD2 (EC 2.1.1.357) (Multiple myeloma SET domain-containing protein) (MMSET) (Nuclear SET domain-containing protein 2) (Protein trithorax-5) (Wolf-Hirschhorn syndrome candidate 1 protein),Homo sapiens (Human),"FUNCTION: Histone methyltransferase which specifically dimethylates nucleosomal histone H3 at 'Lys-36' (H3K36me2) (PubMed:19808676, PubMed:22099308, PubMed:27571355, PubMed:29728617, PubMed:33941880). Also monomethylates nucleosomal histone H3 at 'Lys-36' (H3K36me) in vitro (PubMed:22099308). Does not trimethylate nucleosomal histone H3 at 'Lys-36' (H3K36me3) (PubMed:22099308). However, specifically trimethylates histone H3 at 'Lys-36' (H3K36me3) at euchromatic regions in embryonic stem (ES) cells (By similarity). By methylating histone H3 at 'Lys-36', involved in the regulation of gene transcription during various biological processes (PubMed:16115125, PubMed:22099308, PubMed:29728617). In ES cells, associates with developmental transcription factors such as SALL1 and represses inappropriate gene transcription mediated by histone deacetylation (By similarity). During heart development, associates with transcription factor NKX2-5 to repress transcription of NKX2-5 target genes (By similarity). Plays an essential role in adipogenesis, by regulating expression of genes involved in pre-adipocyte differentiation (PubMed:29728617). During T-cell receptor (TCR) and CD28-mediated T-cell activation, promotes the transcription of transcription factor BCL6 which is required for follicular helper T (Tfh) cell differentiation (By similarity). During B-cell development, required for the generation of the B1 lineage (By similarity). During B2 cell activation, may contribute to the control of isotype class switch recombination (CRS), splenic germinal center formation, and the humoral immune response (By similarity). Plays a role in class switch recombination of the immunoglobulin heavy chain (IgH) locus during B-cell activation (By similarity). By regulating the methylation of histone H3 at 'Lys-36' and histone H4 at 'Lys-20' at the IgH locus, involved in TP53BP1 recruitment to the IgH switch region and promotes the transcription of IgA (By similarity). {ECO:0000250|UniProtKB:Q8BVE8, ECO:0000269|PubMed:16115125, ECO:0000269|PubMed:19808676, ECO:0000269|PubMed:22099308, ECO:0000269|PubMed:27571355, ECO:0000269|PubMed:29728617, ECO:0000269|PubMed:33941880}.; FUNCTION: [Isoform 1]: Histone methyltransferase which specifically dimethylates nucleosomal histone H3 at 'Lys-36' (H3K36me2). {ECO:0000269|PubMed:22099308}.; FUNCTION: [Isoform 4]: Histone methyltransferase which specifically dimethylates nucleosomal histone H3 at 'Lys-36' (H3K36me2) (PubMed:22099308). Methylation of histone H3 at 'Lys-27' is controversial (PubMed:18172012, PubMed:22099308). Mono-, di- or tri-methylates histone H3 at 'Lys-27' (H3K27me, H3K27me2 and H3K27me3) (PubMed:18172012). Does not methylate histone H3 at 'Lys-27' (PubMed:22099308). May act as a transcription regulator that binds DNA and suppresses IL5 transcription through HDAC recruitment (PubMed:11152655, PubMed:18172012). {ECO:0000269|PubMed:11152655, ECO:0000269|PubMed:18172012, ECO:0000269|PubMed:22099308}.",C1309784,,,,
NSMCE3,"NSE3 homolog, SMC5-SMC6 complex component","Rare Single Gene Mutation, Functional",2.0,6,"C1417615,C1334043",Q96MG7,NSMCE3 HCA4 MAGEG1 NDNL2,Non-structural maintenance of chromosomes element 3 homolog (Non-SMC element 3 homolog) (Hepatocellular carcinoma-associated protein 4) (MAGE-G1 antigen) (Melanoma-associated antigen G1) (Necdin-like protein 2),Homo sapiens (Human),"FUNCTION: Component of the SMC5-SMC6 complex, a complex involved in repair of DNA double-strand breaks by homologous recombination (PubMed:20864041, PubMed:27427983). The complex may promote sister chromatid homologous recombination by recruiting the SMC1-SMC3 cohesin complex to double-strand breaks. The complex is required for telomere maintenance via recombination in ALT (alternative lengthening of telomeres) cell lines and mediates sumoylation of shelterin complex (telosome) components which is proposed to lead to shelterin complex disassembly in ALT-associated PML bodies (APBs). In vitro enhances ubiquitin ligase activity of NSMCE1. Proposed to act through recruitment and/or stabilization of the Ubl-conjugating enzyme (E2) at the E3:substrate complex (PubMed:20864041). May be a growth suppressor that facilitates the entry of the cell into cell cycle arrest (By similarity). {ECO:0000250|UniProtKB:Q9CPR8, ECO:0000269|PubMed:20864041, ECO:0000269|PubMed:27427983}.",,hsa03440,Homologous recombination,NAME,
NSMCE3,"NSE3 homolog, SMC5-SMC6 complex component","Rare Single Gene Mutation, Functional",2.0,6,"C1417615,C1334043",Q96MG7,NSMCE3 HCA4 MAGEG1 NDNL2,Non-structural maintenance of chromosomes element 3 homolog (Non-SMC element 3 homolog) (Hepatocellular carcinoma-associated protein 4) (MAGE-G1 antigen) (Melanoma-associated antigen G1) (Necdin-like protein 2),Homo sapiens (Human),"FUNCTION: Component of the SMC5-SMC6 complex, a complex involved in repair of DNA double-strand breaks by homologous recombination (PubMed:20864041, PubMed:27427983). The complex may promote sister chromatid homologous recombination by recruiting the SMC1-SMC3 cohesin complex to double-strand breaks. The complex is required for telomere maintenance via recombination in ALT (alternative lengthening of telomeres) cell lines and mediates sumoylation of shelterin complex (telosome) components which is proposed to lead to shelterin complex disassembly in ALT-associated PML bodies (APBs). In vitro enhances ubiquitin ligase activity of NSMCE1. Proposed to act through recruitment and/or stabilization of the Ubl-conjugating enzyme (E2) at the E3:substrate complex (PubMed:20864041). May be a growth suppressor that facilitates the entry of the cell into cell cycle arrest (By similarity). {ECO:0000250|UniProtKB:Q9CPR8, ECO:0000269|PubMed:20864041, ECO:0000269|PubMed:27427983}.",,hsa04110,Cell cycle,NAME,
NSMCE3,"NSE3 homolog, SMC5-SMC6 complex component","Rare Single Gene Mutation, Functional",2.0,6,"C1417615,C1334043",Q96MG7,NSMCE3 HCA4 MAGEG1 NDNL2,Non-structural maintenance of chromosomes element 3 homolog (Non-SMC element 3 homolog) (Hepatocellular carcinoma-associated protein 4) (MAGE-G1 antigen) (Melanoma-associated antigen G1) (Necdin-like protein 2),Homo sapiens (Human),"FUNCTION: Component of the SMC5-SMC6 complex, a complex involved in repair of DNA double-strand breaks by homologous recombination (PubMed:20864041, PubMed:27427983). The complex may promote sister chromatid homologous recombination by recruiting the SMC1-SMC3 cohesin complex to double-strand breaks. The complex is required for telomere maintenance via recombination in ALT (alternative lengthening of telomeres) cell lines and mediates sumoylation of shelterin complex (telosome) components which is proposed to lead to shelterin complex disassembly in ALT-associated PML bodies (APBs). In vitro enhances ubiquitin ligase activity of NSMCE1. Proposed to act through recruitment and/or stabilization of the Ubl-conjugating enzyme (E2) at the E3:substrate complex (PubMed:20864041). May be a growth suppressor that facilitates the entry of the cell into cell cycle arrest (By similarity). {ECO:0000250|UniProtKB:Q9CPR8, ECO:0000269|PubMed:20864041, ECO:0000269|PubMed:27427983}.",,hsa05225,Hepatocellular carcinoma,NAME,
NSMCE3,"NSE3 homolog, SMC5-SMC6 complex component","Rare Single Gene Mutation, Functional",2.0,6,"C1417615,C1334043",Q96MG7,NSMCE3 HCA4 MAGEG1 NDNL2,Non-structural maintenance of chromosomes element 3 homolog (Non-SMC element 3 homolog) (Hepatocellular carcinoma-associated protein 4) (MAGE-G1 antigen) (Melanoma-associated antigen G1) (Necdin-like protein 2),Homo sapiens (Human),"FUNCTION: Component of the SMC5-SMC6 complex, a complex involved in repair of DNA double-strand breaks by homologous recombination (PubMed:20864041, PubMed:27427983). The complex may promote sister chromatid homologous recombination by recruiting the SMC1-SMC3 cohesin complex to double-strand breaks. The complex is required for telomere maintenance via recombination in ALT (alternative lengthening of telomeres) cell lines and mediates sumoylation of shelterin complex (telosome) components which is proposed to lead to shelterin complex disassembly in ALT-associated PML bodies (APBs). In vitro enhances ubiquitin ligase activity of NSMCE1. Proposed to act through recruitment and/or stabilization of the Ubl-conjugating enzyme (E2) at the E3:substrate complex (PubMed:20864041). May be a growth suppressor that facilitates the entry of the cell into cell cycle arrest (By similarity). {ECO:0000250|UniProtKB:Q9CPR8, ECO:0000269|PubMed:20864041, ECO:0000269|PubMed:27427983}.",,hsa05218,Melanoma,NAME,
NTNG1,netrin G1,"Rare Single Gene Mutation, Syndromic, Genetic Association",2.0,8,"C1428031,C1142712",Q9Y2I2,NTNG1 KIAA0976 LMNT1 UNQ571/PRO1133,Netrin-G1 (Laminet-1),Homo sapiens (Human),"FUNCTION: Involved in controlling patterning and neuronal circuit formation at the laminar, cellular, subcellular and synaptic levels. Promotes neurite outgrowth of both axons and dendrites. {ECO:0000269|PubMed:21946559}.",C0960930,,,,
NTNG2,netrin G2,"Rare Single Gene Mutation, Syndromic",,6,"C1422545,C4505297",Q96CW9,NTNG2 KIAA1857 LMNT2 UNQ9381/PRO34206,Netrin-G2 (Laminet-2),Homo sapiens (Human),"FUNCTION: Involved in controlling patterning and neuronal circuit formation at the laminar, cellular, subcellular and synaptic levels. Promotes neurite outgrowth of both axons and dendrites. {ECO:0000269|PubMed:21946559}.",C1422545,,,,
NTRK1,"neurotrophic tyrosine kinase, receptor, type 1","Rare Single Gene Mutation, Syndromic",2.0,9,"C0919487,C0597357",P04629,NTRK1 MTC TRK TRKA,High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA),Homo sapiens (Human),"FUNCTION: Receptor tyrosine kinase involved in the development and the maturation of the central and peripheral nervous systems through regulation of proliferation, differentiation and survival of sympathetic and nervous neurons. High affinity receptor for NGF which is its primary ligand (PubMed:1281417, PubMed:15488758, PubMed:17196528, PubMed:1849459, PubMed:1850821, PubMed:22649032, PubMed:27445338, PubMed:8325889). Can also bind and be activated by NTF3/neurotrophin-3. However, NTF3 only supports axonal extension through NTRK1 but has no effect on neuron survival (By similarity). Upon dimeric NGF ligand-binding, undergoes homodimerization, autophosphorylation and activation (PubMed:1281417). Recruits, phosphorylates and/or activates several downstream effectors including SHC1, FRS2, SH2B1, SH2B2 and PLCG1 that regulate distinct overlapping signaling cascades driving cell survival and differentiation. Through SHC1 and FRS2 activates a GRB2-Ras-MAPK cascade that regulates cell differentiation and survival. Through PLCG1 controls NF-Kappa-B activation and the transcription of genes involved in cell survival. Through SHC1 and SH2B1 controls a Ras-PI3 kinase-AKT1 signaling cascade that is also regulating survival. In absence of ligand and activation, may promote cell death, making the survival of neurons dependent on trophic factors. {ECO:0000250|UniProtKB:P35739, ECO:0000250|UniProtKB:Q3UFB7, ECO:0000269|PubMed:11244088, ECO:0000269|PubMed:1281417, ECO:0000269|PubMed:15488758, ECO:0000269|PubMed:17196528, ECO:0000269|PubMed:1849459, ECO:0000269|PubMed:1850821, ECO:0000269|PubMed:22649032, ECO:0000269|PubMed:27445338, ECO:0000269|PubMed:27676246, ECO:0000269|PubMed:8155326, ECO:0000269|PubMed:8325889}.; FUNCTION: [Isoform TrkA-III]: Resistant to NGF, it constitutively activates AKT1 and NF-kappa-B and is unable to activate the Ras-MAPK signaling cascade. Antagonizes the anti-proliferative NGF-NTRK1 signaling that promotes neuronal precursors differentiation. Isoform TrkA-III promotes angiogenesis and has oncogenic activity when overexpressed. {ECO:0000269|PubMed:15488758}.",C0919487,,,,
